"","level","Overall","0","1","2","p","test","Missing"
"","2","11 (11.8)","5 (15.2)","1 (5.0)","5 (12.5)","","",""
"","3","2 (2.2)","0 (0.0)","1 (5.0)","1 (2.5)","","",""
"","4","2 (2.2)","2 (6.1)","0 (0.0)","0 (0.0)","","",""
"rrt_aki (%)","0","91 (97.8)","34 (100.0)","18 (94.7)","39 (97.5)","0.439","","1.1"
"","1","2 (2.2)","0 (0.0)","1 (5.3)","1 (2.5)","","",""
"mv_aki (%)","0","90 (95.7)","32 (94.1)","19 (95.0)","39 (97.5)","0.759","","0.0"
"","1","4 (4.3)","2 (5.9)","1 (5.0)","1 (2.5)","","",""
"pressors_aki (%)","0","84 (90.3)","32 (94.1)","17 (89.5)","35 (87.5)","0.625","","1.1"
"","1","9 (9.7)","2 (5.9)","2 (10.5)","5 (12.5)","","",""
"chest_imaging (%)","0","3 (3.2)","0 (0.0)","0 (0.0)","3 (7.5)","0.128","","1.1"
"","1","90 (96.8)","33 (100.0)","20 (100.0)","37 (92.5)","","",""
"chest_imaging_pulmedema (%)","0","65 (73.9)","23 (69.7)","15 (78.9)","27 (75.0)","0.750","","6.4"
"","1","23 (26.1)","10 (30.3)","4 (21.1)","9 (25.0)","","",""
"chest_imaging_effusion (%)","0","56 (62.9)","20 (60.6)","10 (52.6)","26 (70.3)","0.408","","5.3"
"","1","33 (37.1)","13 (39.4)","9 (47.4)","11 (29.7)","","",""
"ecg (%)","0","8 (8.6)","2 (5.9)","2 (10.5)","4 (10.0)","0.775","","1.1"
"","1","85 (91.4)","32 (94.1)","17 (89.5)","36 (90.0)","","",""
"echo (%)","1","94 (100.0)","34 (100.0)","20 (100.0)","40 (100.0)","NA","","0.0"
"albumin_before_terli (%)","0","5 (5.3)","0 (0.0)","5 (25.0)","0 (0.0)","<0.001","","0.0"
"","1","89 (94.7)","34 (100.0)","15 (75.0)","40 (100.0)","","",""
"crystalloid_before_terli (%)","0","37 (40.2)","12 (35.3)","8 (40.0)","17 (44.7)","0.717","","2.1"
"","1","55 (59.8)","22 (64.7)","12 (60.0)","21 (55.3)","","",""
"nsbb_before_terli (%)","1","16 (17.6)","5 (15.2)","7 (36.8)","4 (10.3)","0.010","","3.2"
"","2","1 (1.1)","1 (3.0)","0 (0.0)","0 (0.0)","","",""
"","3","2 (2.2)","0 (0.0)","2 (10.5)","0 (0.0)","","",""
"","4","72 (79.1)","27 (81.8)","10 (52.6)","35 (89.7)","","",""
"mido_before_terli (%)","0","21 (22.6)","8 (23.5)","5 (26.3)","8 (20.0)","0.851","","1.1"
"","1","72 (77.4)","26 (76.5)","14 (73.7)","32 (80.0)","","",""
"oct_before_terli (%)","0","39 (41.9)","14 (41.2)","8 (42.1)","17 (42.5)","0.993","","1.1"
"","1","54 (58.1)","20 (58.8)","11 (57.9)","23 (57.5)","","",""
"ne_before_terli (%)","0","74 (79.6)","25 (73.5)","15 (78.9)","34 (85.0)","0.474","","1.1"
"","1","19 (20.4)","9 (26.5)","4 (21.1)","6 (15.0)","","",""
"gihep_consult (%)","0","4 (4.3)","0 (0.0)","1 (5.3)","3 (7.5)","0.277","","1.1"
"","1","89 (95.7)","34 (100.0)","18 (94.7)","37 (92.5)","","",""
"neph_consult (%)","0","6 (6.5)","0 (0.0)","2 (10.5)","4 (10.0)","0.157","","1.1"
"","1","87 (93.5)","34 (100.0)","17 (89.5)","36 (90.0)","","",""
"pall_consult (%)","0","64 (69.6)","19 (55.9)","15 (78.9)","30 (76.9)","0.091","","2.1"
"","1","28 (30.4)","15 (44.1)","4 (21.1)","9 (23.1)","","",""
"code_status (%)","1","22 (81.5)","10 (71.4)","4 (100.0)","8 (88.9)","0.337","","71.3"
"","2","5 (18.5)","4 (28.6)","0 (0.0)","1 (11.1)","","",""
"ua_hrs (%)","0","5 (5.4)","1 (2.9)","2 (10.5)","2 (5.0)","0.497","","1.1"
"","1","88 (94.6)","33 (97.1)","17 (89.5)","38 (95.0)","","",""
"ua_na_hrs (%)","0","13 (14.0)","7 (20.6)","3 (15.8)","3 (7.5)","0.261","","1.1"
"","1","80 (86.0)","27 (79.4)","16 (84.2)","37 (92.5)","","",""
"ua_cr_hrs (%)","0","20 (21.5)","8 (23.5)","3 (15.8)","9 (22.5)","0.789","","1.1"
"","1","73 (78.5)","26 (76.5)","16 (84.2)","31 (77.5)","","",""
"ua_urea_hrs (%)","0","49 (54.4)","22 (66.7)","11 (57.9)","16 (42.1)","0.110","","4.3"
"","1","41 (45.6)","11 (33.3)","8 (42.1)","22 (57.9)","","",""
"ua_granularcasts_hrs (%)","0","54 (67.5)","20 (69.0)","9 (60.0)","25 (69.4)","0.789","","14.9"
"","1","26 (32.5)","9 (31.0)","6 (40.0)","11 (30.6)","","",""
"ua_epi_cells_hrs (%)","0","61 (75.3)","22 (75.9)","10 (66.7)","29 (78.4)","0.672","","13.8"
"","1","20 (24.7)","7 (24.1)","5 (33.3)","8 (21.6)","","",""
"location_terli_day0 (%)","1","46 (52.3)","18 (54.5)","6 (33.3)","22 (59.5)","0.363","","6.4"
"","2","24 (27.3)","8 (24.2)","6 (33.3)","10 (27.0)","","",""
"","3","18 (20.5)","7 (21.2)","6 (33.3)","5 (13.5)","","",""
"terli_route_day0 (%)","1","69 (73.4)","24 (70.6)","15 (75.0)","30 (75.0)","0.897","","0.0"
"","2","25 (26.6)","10 (29.4)","5 (25.0)","10 (25.0)","","",""
