"","level","Overall","0","1","p","test","Missing"
"n","","94","85","9","","",""
"echo_ef (median [IQR])","","67.00 [63.00, 70.75]","66.00 [62.50, 70.00]","70.00 [67.50, 75.00]","0.035","nonnorm","0.0"
"echo_earatio (median [IQR])","","1.10 [0.90, 1.40]","1.10 [0.88, 1.35]","1.35 [1.23, 1.56]","0.135","nonnorm","37.2"
"echo_eeratio (median [IQR])","","8.77 [7.00, 10.20]","8.64 [6.85, 10.16]","9.15 [8.29, 10.23]","0.611","nonnorm","38.3"
"echo_gls (median [IQR])","","0.65 [-20.77, 25.00]","0.65 [-20.77, 25.00]","NA [NA, NA]","NA","nonnorm","83.0"
"echo_lateral_e (median [IQR])","","11.50 [9.40, 14.00]","11.00 [9.15, 14.00]","14.00 [13.50, 14.50]","0.257","nonnorm","51.1"
